AF,20131014,0.3571,0.5842,0.4707,212,0,4621,255
AFAM,20131014,0.3199,0.3698,0.3448,6,0,533,3379
AFCE,20131014,0.3756,0.3668,0.3712,15,0,1011,1596
AFFX,20131014,1.1025,1.2364,1.1695,10,595,4811,9182
AFFY,20131014,2.6851,2.5412,2.6131,0,0,70652,12758
AFG,20131014,0.2534,0.6212,0.4373,0,0,168,75
AFL,20131014,0.1967,0.2034,0.2,1413,992,66086,56933
AFOP,20131014,1.0824,1.0473,1.0649,61,51,564,102
AFSI,20131014,0.5267,0.5788,0.5528,124,997,13020,33626
AG,20131014,0.694,0.6808,0.6874,515,494,41713,10277
AGCO,20131014,0.2676,0.3157,0.2917,130,420,9170,8909
AGEN,20131014,1.6726,1.6174,1.645,9,10,4446,758
AGG,20131014,0.0466,0.0625,0.0545,0,0,7,193
AGI,20131014,0.9583,0.8217,0.89,0,0,288,260
AGII,20131014,0,0,0,0,0,157,321
AGM,20131014,0.4122,0.3868,0.3995,0,0,639,617
AGN,20131014,0.2779,0.2722,0.2751,314,246,40630,31438
AGNC,20131014,0.2667,0.2607,0.2637,4116,3530,136365,139037
AGO,20131014,0.4729,0.477,0.4749,3148,3388,125508,124588
AGQ,20131014,0.6814,0.7107,0.6961,7834,1034,82252,48947
AGRO,20131014,0.5544,0.5965,0.5755,161,0,2219,681
AGU,20131014,0.3148,0.3185,0.3167,1773,487,56056,35005
AGX,20131014,0.3967,0.4705,0.4336,0,0,436,250
AGYS,20131014,0.7035,0.6899,0.6967,0,0,46,51
AH,20131014,0.5325,0.5445,0.5385,194,10,5842,4121
AHC,20131014,1.227,2.0019,1.6144,0,0,0,0
AHGP,20131014,0.4023,0.651,0.5266,16,15,566,813
AHH,20131014,0.7233,0.735,0.7291,0,0,165,14
AHL,20131014,0.3124,0.3938,0.3531,3,0,76,45
AHS,20131014,0.5219,0.7523,0.6371,16,10,1188,301
AHT,20131014,0.5986,1.2657,0.9321,5,0,1497,1104
AI,20131014,0.3202,0.389,0.3546,5,1,930,1310
AIG,20131014,0.2433,0.2408,0.242,30444,12985,570476,486959
AIMC,20131014,1.4406,1.5829,1.5117,0,0,75,115
AIN,20131014,1.3155,1.4124,1.3639,0,0,19,0
AINV,20131014,0.3024,0.3341,0.3182,164,50,9246,3902
AIR,20131014,0.346,0.4926,0.4193,17,0,3928,2937
AIRM,20131014,0.5206,0.5305,0.5255,8,64,2946,8984
AIT,20131014,0.3514,0.5181,0.4348,0,10,123,57
AIV,20131014,0.3063,0.3432,0.3248,0,0,317,360
AIXG,20131014,0.489,0.4819,0.4854,0,10,423,248
AIZ,20131014,0.2482,0.2563,0.2523,112,3,639,968
AJG,20131014,0.4552,0.3078,0.3815,0,0,280,154
AKAM,20131014,0.4636,0.4664,0.465,1727,1186,65573,47664
AKG,20131014,0,0,0,0,2034,6326,11892
AKR,20131014,1.5051,1.5357,1.5204,0,0,45,0
AKRX,20131014,0.4279,0.4286,0.4283,24,20,10396,16807
AKS,20131014,0.6314,0.6791,0.6552,8503,1462,91483,213914
AL,20131014,0.3505,0.4092,0.3798,99,60,802,850
ALB,20131014,0.2912,0.2987,0.2949,3,0,1710,2375
ALDW,20131014,0.5551,0.9015,0.7283,88,58,5635,5624
ALE,20131014,0.3003,0.3392,0.3197,13,0,245,354
ALEX,20131014,0.4946,0.5184,0.5065,0,0,715,535
ALGN,20131014,0.5606,0.5632,0.5619,253,169,12494,11659
ALGT,20131014,0.3753,0.4019,0.3886,7,35,1369,1671
ALIM,20131014,2.7467,2.4315,2.5891,134,255,2615,950
ALJ,20131014,0.6209,0.6855,0.6532,1113,46,2158,872
ALK,20131014,0.3813,0.4114,0.3963,341,49,22985,7069
ALKS,20131014,0.4814,0.4806,0.481,88,3,7193,4151
ALL,20131014,0.2271,0.2284,0.2277,586,1215,20712,21105
ALLT,20131014,0.6662,0.7009,0.6836,1,5,3557,1376
ALNY,20131014,0.6354,0.6431,0.6393,90,103,8149,8817
ALOG,20131014,0.2469,0.2528,0.2499,0,0,423,287
ALR,20131014,0.4528,0.4777,0.4652,7,390,3860,1714
ALSK,20131014,0.82,0.8615,0.8407,2,0,9850,3507
ALSN,20131014,0.4514,0.4609,0.4562,0,0,793,396
ALTR,20131014,0.291,0.3188,0.3049,155,211,43691,33729
ALU,20131014,0.8064,0.7648,0.7856,4754,692,311026,80639
ALV,20131014,0.2719,0.2944,0.2832,7,25,1569,2951
ALXA,20131014,0.5363,0.7154,0.6259,393,137,26031,5134
ALXN,20131014,0.4015,0.4075,0.4045,1589,314,35806,23013
AMAG,20131014,0.7084,0.6113,0.6598,2,14,703,459
AMAT,20131014,0.2682,0.2746,0.2714,23251,1713,210883,131461
AMBA,20131014,0.581,0.5669,0.5739,443,359,10623,14834
AMBC,20131014,0.6642,0.6677,0.6659,1773,222,24099,8460
AMCC,20131014,0.573,0.6662,0.6196,551,116,7403,2377
AMCN,20131014,0,0,0,112,0,230,12
AMCX,20131014,0.44,0.5099,0.4749,20,0,724,865
AMD,20131014,0.6739,0.6505,0.6622,38233,8363,549040,429041
AME,20131014,0.2939,0.3714,0.3326,15,7,341,216
AMED,20131014,0.5264,0.5188,0.5226,563,25,24782,18680
AMG,20131014,0.2703,0.2797,0.275,53,24,1588,2701
AMGN,20131014,0.2508,0.2729,0.2619,2590,2508,102988,126130
AMH,20131014,0.4613,0.405,0.4331,181,89,835,360
AMJ,20131014,0.1744,0.2309,0.2027,2,0,3525,21295
AMKR,20131014,0.5695,0.6055,0.5875,115,0,9490,6486
AMLP,20131014,0.1478,0.3561,0.2519,10,336,2299,53462
AMP,20131014,0.26,0.3048,0.2824,55,46,3960,4704
AMPE,20131014,0.9675,1.0953,1.0314,1230,29,15888,4220
AMRC,20131014,0.6649,3.6009,2.1329,2,0,524,259
AMRE,20131014,1.0199,1.1243,1.0721,0,0,0,154
AMRI,20131014,0.5921,0.7373,0.6647,25,0,1663,887
AMRN,20131014,2.3832,2.3106,2.3469,46869,17631,358155,106832
AMRS,20131014,0.8689,0.9127,0.8908,10,0,649,2722
AMSC,20131014,0.9734,1.1249,1.0492,0,40,17956,3994
AMSF,20131014,1.2634,1.3167,1.2901,0,0,0,0
AMSG,20131014,0.5799,0.5258,0.5529,12,0,19,0
AMSWA,20131014,2.7833,2.6922,2.7378,1,0,45,144
AMT,20131014,0.2242,0.2211,0.2227,339,831,49357,50095
AMTD,20131014,0.3112,0.3411,0.3261,2872,320,173324,85394
AMTG,20131014,0.437,0.4313,0.4342,0,2,6645,6151
AMWD,20131014,0.5479,0.5565,0.5522,0,0,198,23
AMX,20131014,0.2884,0.3327,0.3105,175,171,31965,34694
AMZN,20131014,0.3441,0.3433,0.3437,10844,10863,154320,170896
AN,20131014,0.3212,0.3249,0.3231,572,113,14446,7928
ANAC,20131014,1.3951,1.3623,1.3787,39,5,4671,334
ANAD,20131014,0,0,0,0,0,4325,572
ANDE,20131014,0.3232,0.33,0.3266,8,0,1716,2492
ANEN,20131014,0.3778,0.3856,0.3817,2,0,408,177
ANF,20131014,0.4656,0.4665,0.466,5744,5548,123033,147853
ANGI,20131014,0.9807,0.9985,0.9896,2454,2427,42709,41754
ANGO,20131014,0.5229,0.5842,0.5535,4,2,1863,779
ANH,20131014,0.5154,0.6271,0.5712,0,0,3941,6209
ANIK,20131014,0.5221,0.5308,0.5265,28,0,2530,395
ANIP,20131014,0,0,0,0,0,10963,949
ANN,20131014,0.3383,0.3296,0.3339,273,1415,6810,12623
ANR,20131014,0.6069,0.6142,0.6106,6154,1098,269063,238274
ANSS,20131014,0.3777,0.368,0.3729,10,0,1777,1201
ANTH,20131014,3.2543,3.1532,3.2038,0,0,280,9
ANV,20131014,0.904,0.9001,0.9021,1325,343,84878,55841
ANW,20131014,0.6273,0.6526,0.64,22,11,3112,1402
AOI,20131014,1.2053,1.084,1.1447,0,0,215,135
AOL,20131014,0.4551,0.4658,0.4605,186,3296,32131,25837
AON,20131014,0.2116,0.2409,0.2262,221,51,24004,6630
AOS,20131014,0.3367,0.6226,0.4797,10,0,438,788
AOSL,20131014,0.9171,0.9533,0.9352,0,0,108,288
APA,20131014,0.2234,0.2439,0.2336,4224,4930,125425,95891
APAGF,20131014,0.8366,0.8918,0.8642,0,0,863,50
APAM,20131014,0.3536,0.3849,0.3693,0,0,647,51
APC,20131014,0.2886,0.2897,0.2891,5319,5233,314792,144799
APD,20131014,0.2797,0.2787,0.2792,548,81,29716,13053
APEI,20131014,0.5256,0.5139,0.5197,11,239,2469,2210
APH,20131014,0.3306,0.3314,0.331,751,32,3925,3008
APL,20131014,0.2075,0.3253,0.2664,387,99,15677,15388
APO,20131014,0.4202,0.4222,0.4212,1923,1803,13856,8198
APOG,20131014,0.4525,0.5519,0.5022,1,0,852,253
APOL,20131014,0.483,0.4863,0.4846,1060,319,68497,56506
APP,20131014,0,0,0,0,0,775,159
APRI,20131014,0,0,0,43,0,6656,2296
APU,20131014,0.2889,0.5277,0.4083,22,10,1742,1350
ARAY,20131014,0.6854,0.7572,0.7213,53,0,14223,15214
ARCC,20131014,0.1739,0.1982,0.186,79,1,17382,21359
ARCO,20131014,0.5112,0.5484,0.5298,457,63,5498,11471
ARCP,20131014,0.3315,0.4014,0.3665,858,26,53289,9971
ARE,20131014,0.3854,0.4326,0.409,3,10,560,1197
AREX,20131014,0.5323,0.5222,0.5273,242,64,7427,7248
ARG,20131014,0.2184,0.2275,0.223,7,39,3379,2655
ARI,20131014,0.3646,0.3856,0.3751,0,7,73,123
ARIA,20131014,1.2461,1.248,1.247,3875,2764,80489,43781
ARII,20131014,0.4376,0.4725,0.4551,277,209,4875,3067
ARLP,20131014,0.2422,0.4157,0.3289,61,53,1698,2898
ARMH,20131014,0.4149,0.4265,0.4207,651,577,37888,42119
ARNA,20131014,0.6921,0.7642,0.7282,5565,1981,308462,163998
ARO,20131014,0.6919,0.6948,0.6933,1015,577,62341,81075
ARP,20131014,0.33,0.5389,0.4345,292,11,7963,4969
ARPI,20131014,0.5086,0.5681,0.5384,0,0,42,60
ARQL,20131014,0,0,0,0,0,2197,1001
ARR,20131014,0.5647,0.5282,0.5465,862,506,52118,25968
ARRS,20131014,0.4142,0.4391,0.4267,202,93,26101,15566
ARRY,20131014,1.0192,1.0526,1.0359,128,516,7485,11781
ARSD,20131014,3.106,4.9702,4.0381,0,0,56,1
ARTC,20131014,0.4318,0.5083,0.4701,0,0,2022,230
ARTNA,20131014,0.4296,0.5778,0.5037,0,0,10,12
ARUN,20131014,0.4263,0.4308,0.4285,926,388,39404,25341
ARW,20131014,0.3088,0.3364,0.3226,100,8,1877,534
ARWR,20131014,1.2777,1.3909,1.3343,77,97,3082,1023
ARX,20131014,0.0914,0.0611,0.0763,3,0,96,98
ASA,20131014,0.5567,0.7082,0.6324,0,0,611,648
ASBC,20131014,0.3593,0.3997,0.3795,15,0,681,80
ASC,20131014,0.4518,0.5843,0.518,0,0,44,67
ASEI,20131014,0.4583,0.4637,0.461,0,0,319,319
ASFI,20131014,0.5984,0.6673,0.6328,0,0,565,68
ASGN,20131014,0.4416,0.4499,0.4457,40,60,543,652
ASH,20131014,0.3169,0.3184,0.3176,2395,1255,16287,16276
ASIA,20131014,0.438,0.4381,0.438,21,5,6610,6494
ASMI,20131014,0.4336,0.4379,0.4357,0,0,329,87
ASML,20131014,0.3447,0.3453,0.345,592,584,4882,12277
ASNA,20131014,0.2751,0.3003,0.2877,69,120,13900,25447
ASPS,20131014,0.4648,0.4861,0.4755,16,0,2291,2233
ASR,20131014,0.3795,0.3615,0.3705,0,3,50,78
ASTE,20131014,0.3564,0.4947,0.4255,0,0,162,66
ASTI,20131014,0,0,0,0,0,584,2
ASTM,20131014,0,0,0,0,0,363,75
ASTX,20131014,0,0,0,0,0,78329,46986
ASX,20131014,0.6075,0.7955,0.7015,0,0,143,5
ASYS,20131014,1.6667,0.7655,1.2161,10,0,1202,237
AT,20131014,0.5718,0.5814,0.5766,275,33,8295,11635
ATAX,20131014,0,0,0,25,0,72,203
ATEC,20131014,0,0,0,0,0,43,40
ATHL,20131014,0.4579,0.4838,0.4708,20,0,687,209
ATHN,20131014,0.4372,0.441,0.4391,279,235,23149,16711
ATHX,20131014,0,0,0,32,98,5777,1776
ATI,20131014,0.404,0.4293,0.4167,453,819,18268,20305
ATK,20131014,0.32,0.328,0.324,52,5,4086,2931
ATLC,20131014,1.4078,1.3931,1.4004,0,0,292,238
ATLS,20131014,0.311,0.4276,0.3693,84,69,41196,19247
ATMI,20131014,0.4052,0.6596,0.5324,0,0,43,70
